Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Marcene,BE54492369897428,BE27382842993934,Sat Mar 14 02:31:22 CET 2020,-2262.73,EUR,Cumque debitis vel.
Marcene,BE54492369897428,BE34063038474723,Wed Mar 11 17:25:34 CET 2020,-219.67,EUR,Eum aut repudiandae quo et commodi velit corporis.
Marcene,BE54492369897428,BE66336325297163,Sat Mar 14 00:20:40 CET 2020,-3598.25,EUR,Voluptatem aliquid delectus fugiat provident.
Issac,BE38116696370984,BE97722676137234,Sun Mar 15 20:42:14 CET 2020,-1560.94,EUR,Magnam fuga voluptatibus consequuntur sed et consequatur ullam.
Issac,BE38116696370984,BE96363465616875,Thu Mar 05 03:15:42 CET 2020,-4955.28,EUR,Quia velit qui cum perferendis.
Hiedi,BE70392638550479,BE40998186699371,Thu Mar 12 16:29:16 CET 2020,-2235.88,EUR,Qui voluptatum repudiandae dolorem aut fugit.
Hiedi,BE70392638550479,BE29305185352327,Sat Mar 14 07:02:46 CET 2020,3471.49,EUR,Autem numquam sit sit consectetur.
Kiersten,BE85492654096297,BE82295573911306,Thu Mar 05 16:38:35 CET 2020,2365.22,EUR,Sunt rerum dolorum ut maiores eius.
Kiersten,BE85492654096297,BE41975865810424,Fri Mar 13 14:04:11 CET 2020,3032.22,EUR,Accusantium fugit quod dolor est aut.
Lazaro,BE75060721861106,BE31422373072995,Sun Mar 15 04:28:49 CET 2020,3884.74,EUR,Et deleniti ut quis quo.
Lazaro,BE75060721861106,BE88476777878584,Sun Mar 08 22:31:06 CET 2020,-4292.91,EUR,Vel omnis magnam perspiciatis corporis recusandae similique suscipit.
Lazaro,BE75060721861106,BE75511585651758,Sun Mar 15 16:15:42 CET 2020,4572.72,EUR,Eius qui aliquid aperiam minus ut rerum id.
Cleveland,BE48258956714752,BE09401100290414,Sat Mar 14 04:40:51 CET 2020,-1557.54,EUR,Consequatur laborum debitis.
Cleveland,BE48258956714752,BE53308162722954,Wed Mar 11 12:29:21 CET 2020,-4155.27,EUR,Nobis animi nobis blanditiis ut laboriosam occaecati.
Cleveland,BE48258956714752,BE08521582835938,Tue Mar 03 16:50:49 CET 2020,3223.15,EUR,Beatae rerum doloribus voluptatem.
Cleveland,BE48258956714752,BE53143308819682,Wed Mar 11 20:21:32 CET 2020,-4484.19,EUR,Consequatur ut dicta ipsam officia.
Cleveland,BE48258956714752,BE65861024741321,Sat Mar 14 13:22:49 CET 2020,2876.16,EUR,Reprehenderit est repellat est.
Cleveland,BE48258956714752,BE95814833752449,Sun Mar 08 01:09:39 CET 2020,-3581.41,EUR,Veritatis qui dolorem et voluptatum dolor consequatur ullam.
Cleveland,BE48258956714752,BE89585456808255,Tue Mar 10 13:15:32 CET 2020,529.73,EUR,Aut iusto voluptas.
Cleveland,BE48258956714752,BE49360603425141,Fri Feb 28 06:37:53 CET 2020,4354.05,EUR,Eum commodi aliquam.
Ralph,BE52651420507337,BE50774647335654,Sat Mar 14 20:54:40 CET 2020,-4200.44,EUR,Officia quis nisi rerum maxime esse.
Ralph,BE52651420507337,BE08185727083549,Sun Mar 08 08:17:42 CET 2020,-2445.27,EUR,A omnis qui et repellendus.
Ralph,BE52651420507337,BE84692586163325,Mon Mar 09 12:39:56 CET 2020,3714.76,EUR,Qui neque dolores ut repellendus aut.
Ralph,BE52651420507337,BE56289255867311,Wed Mar 04 17:58:35 CET 2020,1948.39,EUR,Id nemo architecto harum praesentium voluptatem aut quam.
Ralph,BE52651420507337,BE24664146710155,Mon Mar 09 19:06:52 CET 2020,-1697.24,EUR,Tempora blanditiis et ipsum quas temporibus rem.
Ralph,BE52651420507337,BE38657883093013,Fri Mar 13 23:47:49 CET 2020,3775.2,EUR,Quo nesciunt doloremque.
Ralph,BE52651420507337,BE85486915982145,Thu Mar 05 14:56:21 CET 2020,-4615.1,EUR,Nihil necessitatibus minus non totam velit eaque dignissimos.
Ralph,BE52651420507337,BE85888860477008,Tue Mar 10 23:55:02 CET 2020,-4957.56,EUR,Necessitatibus occaecati rerum nisi sit nostrum sunt perspiciatis.
Ralph,BE52651420507337,BE30987255591071,Sun Feb 23 06:47:37 CET 2020,-2821.36,EUR,Ea veniam eius.
Ralph,BE52651420507337,BE86676539867673,Thu Mar 12 12:57:50 CET 2020,3742.17,EUR,Consequatur voluptatum consequatur quam nisi beatae.
Marlin,BE84021083028612,BE81545875143696,Fri Mar 13 15:22:44 CET 2020,-951.72,EUR,Est et vero quos delectus explicabo.
Marlin,BE84021083028612,BE21687926739874,Mon Mar 16 06:09:41 CET 2020,3710.99,EUR,Et et dolorem ratione quia ipsa.
Marlin,BE84021083028612,BE48578886134820,Wed Mar 11 07:33:49 CET 2020,-3859.91,EUR,Minima exercitationem est.
Timothy,BE98886390179908,BE19511755472994,Sun Mar 15 08:20:40 CET 2020,4520.77,EUR,Unde id deleniti eos deleniti sed.
Timothy,BE98886390179908,BE89599751887599,Mon Mar 02 04:42:59 CET 2020,-23.67,EUR,Unde eaque odit enim veritatis id.
Timothy,BE98886390179908,BE68048462267524,Sun Feb 23 13:28:47 CET 2020,-3408.28,EUR,Aperiam aliquid aspernatur facere ut enim expedita sit.
Timothy,BE98886390179908,BE18948221176819,Fri Mar 06 08:26:07 CET 2020,-4667.87,EUR,Necessitatibus corporis velit cumque et autem nisi ut.
Timothy,BE98886390179908,BE92227404967471,Sat Feb 29 12:54:56 CET 2020,-3371.08,EUR,Saepe deleniti impedit natus velit.
Timothy,BE98886390179908,BE84464351422056,Tue Mar 10 04:30:06 CET 2020,957.19,EUR,Deleniti commodi animi fuga magnam sit.
Timothy,BE98886390179908,BE03436447959157,Mon Mar 09 11:27:29 CET 2020,2310.44,EUR,Culpa eum velit sit dolorum.
Timothy,BE98886390179908,BE88587137392734,Sun Mar 15 01:59:13 CET 2020,4140.97,EUR,Facere sed sit sunt qui in.
Santos,BE66921975556349,BE69085641560175,Fri Mar 13 23:14:49 CET 2020,3936.46,EUR,Vitae culpa alias fugiat sunt doloremque dolor ut.
Santos,BE66921975556349,BE89008569982738,Tue Mar 10 22:38:26 CET 2020,1490.44,EUR,Ullam veniam saepe omnis similique unde porro.
Santos,BE66921975556349,BE82248433362038,Fri Mar 06 09:24:35 CET 2020,2659.11,EUR,Debitis nostrum a et quia est.
Santos,BE66921975556349,BE69035299589054,Thu Mar 12 09:22:02 CET 2020,3057.69,EUR,Unde et impedit voluptatem.
Soraya,BE98764120106471,BE37707321411861,Tue Mar 10 18:12:52 CET 2020,2836.58,EUR,Sunt non voluptate.
Soraya,BE98764120106471,BE56117627012619,Tue Mar 10 08:30:22 CET 2020,-209.66,EUR,Rerum molestiae accusamus nulla voluptatem veritatis autem.
Soraya,BE98764120106471,BE90525124654244,Thu Feb 27 19:54:15 CET 2020,-4035.53,EUR,Accusantium sint nam vel.
Alonso,BE65053407497813,BE94782424796802,Fri Mar 13 03:34:45 CET 2020,-4564.01,EUR,Officiis similique commodi et dicta impedit.
Alonso,BE65053407497813,BE91677177375057,Mon Mar 02 02:12:15 CET 2020,-3620.65,EUR,Fuga quia voluptatem nam enim voluptatem.
Alonso,BE65053407497813,BE53608655102990,Sat Mar 14 12:01:03 CET 2020,3679.63,EUR,Sed ducimus reprehenderit magni eos veniam ipsum laborum.
Alonso,BE65053407497813,BE16987354487576,Mon Mar 02 21:06:02 CET 2020,2383.42,EUR,Voluptatem beatae quae fuga quidem fugit rem nostrum.
Alonso,BE65053407497813,BE55676358133493,Wed Feb 26 02:03:40 CET 2020,2106.82,EUR,Et ut aut temporibus.
Christiane,BE03544557841741,BE31381903780013,Tue Mar 10 12:39:42 CET 2020,2732.41,EUR,Autem ipsum et.
Christiane,BE03544557841741,BE08817405928526,Sun Mar 15 02:49:27 CET 2020,668.65,EUR,Quos ut veniam laboriosam ut.
Christiane,BE03544557841741,BE61163444653778,Sun Feb 23 18:00:16 CET 2020,1321.17,EUR,Autem qui soluta est illo itaque.
Christiane,BE03544557841741,BE49451938246065,Sun Mar 15 07:34:42 CET 2020,-3027.28,EUR,Et nisi delectus aut quis quia omnis.
Christiane,BE03544557841741,BE65889627403503,Fri Mar 06 11:39:41 CET 2020,2854.87,EUR,Quae aut quod eligendi distinctio labore.
Christiane,BE03544557841741,BE43849357078772,Sun Mar 15 14:28:50 CET 2020,-818.14,EUR,Animi non esse tempora.
Christiane,BE03544557841741,BE88306724087970,Tue Feb 25 15:09:34 CET 2020,-4866.06,EUR,Recusandae magni et laudantium minima nostrum.
Christiane,BE03544557841741,BE43166663837043,Sun Mar 15 22:15:41 CET 2020,-1254.1,EUR,Ratione quam quisquam ut.
Elaina,BE18539101748514,BE05756883932492,Fri Mar 06 02:27:28 CET 2020,-3110.91,EUR,Ipsam ipsam vel repudiandae in.
Elaina,BE18539101748514,BE14141063736469,Sun Mar 15 23:12:50 CET 2020,-3893.98,EUR,Illo omnis soluta et.
Elaina,BE18539101748514,BE03583214484471,Wed Mar 04 22:12:43 CET 2020,-3640.07,EUR,Tempore a dicta cupiditate.
Elaina,BE18539101748514,BE37842073489433,Sun Mar 08 09:19:12 CET 2020,-2011.22,EUR,Aut ea velit repellat sunt aut voluptatem ex.
Elaina,BE18539101748514,BE31982802495168,Fri Mar 13 06:15:36 CET 2020,4441.87,EUR,Totam blanditiis atque.
Elaina,BE18539101748514,BE47577439463937,Thu Mar 12 16:15:23 CET 2020,1444.61,EUR,Repellat sequi molestiae sint qui facere vero.
Elaina,BE18539101748514,BE71111589189440,Thu Mar 12 15:56:27 CET 2020,-348.99,EUR,Deserunt cumque tenetur.
Clemente,BE24128548950325,BE10070326360344,Mon Mar 16 11:21:29 CET 2020,-1338.33,EUR,Velit laborum fugiat voluptas voluptatum sit dolores.
Clemente,BE24128548950325,BE07252959550810,Tue Mar 03 05:50:48 CET 2020,1296.47,EUR,Harum et voluptate neque excepturi dolorum blanditiis et.
Clemente,BE24128548950325,BE06296239531815,Mon Mar 16 14:40:41 CET 2020,1705.77,EUR,Quibusdam odit accusantium quisquam.
Clemente,BE24128548950325,BE87339574961879,Fri Mar 13 18:09:48 CET 2020,1474.99,EUR,Expedita itaque unde ipsam.
Clemente,BE24128548950325,BE19244778477280,Wed Feb 26 08:28:58 CET 2020,816.19,EUR,Eum atque aspernatur beatae saepe culpa.
Clemente,BE24128548950325,BE96805956448328,Mon Mar 16 14:34:12 CET 2020,-2199.25,EUR,Natus enim dicta eius omnis nisi enim quaerat.
Clemente,BE24128548950325,BE42338741752768,Sat Mar 14 23:43:01 CET 2020,2265.23,EUR,Sint ipsa est iste sint nisi earum aut.
Clemente,BE24128548950325,BE17541738358009,Thu Mar 12 05:30:58 CET 2020,-1793.24,EUR,Ratione ut quia in unde.
Clemente,BE24128548950325,BE38356641647258,Mon Mar 02 07:45:49 CET 2020,-1736.36,EUR,Dolor impedit non neque sit rerum.
Shalonda,BE72871491507474,BE04436895285212,Wed Mar 11 17:29:57 CET 2020,-2223.52,EUR,Deserunt quos aliquam aut natus accusamus excepturi voluptate.
Shalonda,BE72871491507474,BE68959863225529,Sat Feb 29 09:33:19 CET 2020,1114.87,EUR,Recusandae ut quia iusto facilis sit praesentium qui.
Shalonda,BE72871491507474,BE38246206073080,Sat Mar 14 11:55:30 CET 2020,451.93,EUR,Sed ipsum nemo et magnam laborum deserunt molestiae.
Shalonda,BE72871491507474,BE07753265569683,Mon Mar 09 10:55:25 CET 2020,3515.85,EUR,Nemo aspernatur quos quisquam voluptatum vitae occaecati consequatur.
Shalonda,BE72871491507474,BE84770452229281,Sat Mar 14 11:35:05 CET 2020,3616.0,EUR,Impedit illo qui molestiae autem placeat omnis est.
Shalonda,BE72871491507474,BE92831702262702,Fri Mar 13 19:30:01 CET 2020,-1622.45,EUR,Reprehenderit quo eos dolores vel non culpa autem.
Shalonda,BE72871491507474,BE05891725602853,Wed Mar 11 19:22:26 CET 2020,-320.4,EUR,Pariatur iste debitis.
Shalonda,BE72871491507474,BE86415739339684,Fri Feb 21 01:18:16 CET 2020,804.16,EUR,Nesciunt quasi quidem optio consequatur aut.
Shalonda,BE72871491507474,BE58548273725578,Fri Mar 13 13:55:10 CET 2020,-2757.56,EUR,Voluptas quia sunt aliquam hic.
Joaquin,BE68589352301958,BE56626167207068,Tue Mar 10 19:54:40 CET 2020,4233.65,EUR,Hic dolor voluptas cupiditate aut.
Joaquin,BE68589352301958,BE78484398549031,Tue Feb 25 22:21:34 CET 2020,-3069.34,EUR,Sint alias excepturi maiores modi.
Joaquin,BE68589352301958,BE97088250188916,Tue Feb 25 23:34:24 CET 2020,2375.12,EUR,Aliquam veritatis ad deleniti qui placeat.
Joaquin,BE68589352301958,BE40269480566839,Thu Mar 12 11:17:56 CET 2020,1427.22,EUR,Qui dolor harum ducimus nostrum laboriosam.
Joaquin,BE68589352301958,BE27360808686073,Sun Mar 15 06:45:51 CET 2020,-1737.53,EUR,Ipsa qui eum laborum repellendus iste.
Joaquin,BE68589352301958,BE19814820264124,Wed Mar 04 18:03:43 CET 2020,4255.33,EUR,Minus quia natus ad voluptas quod id.
Joaquin,BE68589352301958,BE03293703565421,Thu Mar 12 03:32:21 CET 2020,-1901.25,EUR,Earum sed illum sapiente occaecati sunt similique.
Joaquin,BE68589352301958,BE39869946877837,Sun Mar 15 09:27:26 CET 2020,-525.75,EUR,Temporibus tempora vel.
Joaquin,BE68589352301958,BE34800392573676,Wed Mar 11 13:56:16 CET 2020,3068.17,EUR,Id dolor voluptas alias dolorem nemo.
Joaquin,BE68589352301958,BE76411767662642,Wed Mar 04 08:19:24 CET 2020,-2141.77,EUR,Sit nesciunt voluptatem mollitia aut qui.
Adan,BE90106903245004,BE32862054545228,Mon Mar 09 12:04:34 CET 2020,-4289.94,EUR,Nisi doloremque praesentium.
Adan,BE90106903245004,BE02241709466747,Fri Feb 28 12:39:40 CET 2020,-3551.24,EUR,Quaerat est tempore molestiae non totam eius sequi.
Ken,BE14014860221658,BE81422745980544,Mon Mar 02 02:43:07 CET 2020,1498.99,EUR,Expedita molestiae est velit est molestiae accusamus voluptatum.
Ken,BE14014860221658,BE25786625625156,Mon Mar 16 09:50:24 CET 2020,4841.43,EUR,Dolorem et eaque totam necessitatibus laborum omnis.
Ken,BE14014860221658,BE50664474939742,Sat Mar 07 21:29:45 CET 2020,2663.4,EUR,Quo quasi accusantium rem officia.
Ken,BE14014860221658,BE38323032849123,Fri Feb 28 01:00:18 CET 2020,4076.66,EUR,Sed fugiat consequatur soluta ipsum veritatis omnis.
Ken,BE14014860221658,BE40235057075210,Tue Mar 10 10:05:07 CET 2020,-96.49,EUR,Aut iusto dolorem eos amet autem ea ut.
Augustus,BE52503046093339,BE46371269041280,Mon Mar 16 15:26:38 CET 2020,-1250.45,EUR,Perspiciatis libero sed quos expedita porro quibusdam est.
Augustus,BE52503046093339,BE90329219526811,Tue Mar 10 23:33:19 CET 2020,2517.37,EUR,Et aut quo.
Augustus,BE52503046093339,BE49570876027383,Sun Mar 15 16:59:31 CET 2020,-2876.29,EUR,Velit quisquam dolor non excepturi reiciendis.
Ashanti,BE42430043419771,BE21617565829407,Sun Mar 01 09:18:53 CET 2020,2148.55,EUR,Ad reiciendis repellendus qui consequuntur dolore.
Ashanti,BE42430043419771,BE89448138006699,Sun Mar 08 16:32:43 CET 2020,3377.41,EUR,Minus reiciendis quo nobis libero libero ullam quos.
Ashanti,BE42430043419771,BE35908509173589,Mon Mar 16 00:47:20 CET 2020,105.44,EUR,Consequatur aliquid est.
Ashanti,BE42430043419771,BE59930381646800,Sat Mar 07 19:10:09 CET 2020,3603.72,EUR,Consequatur dolorem voluptatem in voluptas voluptates.
Ashanti,BE42430043419771,BE44401623437459,Wed Mar 04 21:48:49 CET 2020,-2136.89,EUR,Dicta dolor qui aut quis aut ut optio.
Ashanti,BE42430043419771,BE06525132631581,Sat Mar 07 21:47:40 CET 2020,2550.99,EUR,Corporis natus ut magnam.
Ashanti,BE42430043419771,BE90068025518904,Mon Mar 16 04:08:49 CET 2020,4517.53,EUR,Et quia nemo numquam possimus.
Ashanti,BE42430043419771,BE11924903736303,Tue Feb 25 09:51:37 CET 2020,4510.71,EUR,Cum velit consequatur eligendi quia.
Ashanti,BE42430043419771,BE04265783726961,Sat Feb 22 04:58:39 CET 2020,4266.24,EUR,Aperiam vitae voluptate ut et dolor nobis.
Ashanti,BE42430043419771,BE75841256332522,Fri Mar 13 11:42:47 CET 2020,4101.7,EUR,Voluptatem asperiores autem at ea voluptatem quis.
Jc,BE93715957375852,BE46266318709820,Fri Mar 13 16:32:20 CET 2020,-194.31,EUR,Eligendi ab optio minus omnis assumenda tempora.
Jc,BE93715957375852,BE22129764988824,Sun Mar 15 12:14:15 CET 2020,-813.64,EUR,Tempore non ut vel dicta.
Jc,BE93715957375852,BE68850187342353,Sat Mar 14 11:26:02 CET 2020,1184.14,EUR,Velit voluptatem et.
Cristobal,BE19276151887038,BE69785093174326,Sat Mar 14 22:49:08 CET 2020,4253.77,EUR,Et voluptas tempore necessitatibus sit.
Cristobal,BE19276151887038,BE86874317066976,Tue Mar 03 15:08:16 CET 2020,-3934.25,EUR,Et eos quo accusamus.
Cristobal,BE19276151887038,BE18108197555421,Tue Feb 25 17:02:03 CET 2020,2092.9,EUR,Aliquam dolor nihil quia maiores.
Cristobal,BE19276151887038,BE85411002005008,Thu Mar 12 04:50:23 CET 2020,-3298.21,EUR,Ipsa asperiores voluptates ut officia incidunt ipsa.
Cristobal,BE19276151887038,BE62239328658673,Mon Mar 16 08:07:58 CET 2020,3930.93,EUR,Saepe amet expedita.
Cristobal,BE19276151887038,BE35875785876814,Mon Mar 16 14:23:06 CET 2020,-356.84,EUR,Eum est quis repellat nesciunt quod est.
Cristobal,BE19276151887038,BE61141839463635,Mon Feb 17 06:57:58 CET 2020,-308.13,EUR,Voluptatem reiciendis neque et rerum.
Cristobal,BE19276151887038,BE08467184891588,Thu Mar 12 20:09:53 CET 2020,-736.54,EUR,Minus qui nihil nobis.
Yulanda,BE27845120795441,BE07913253217307,Thu Mar 12 12:44:15 CET 2020,3638.88,EUR,Et tempora error minima.
Yulanda,BE27845120795441,BE42769612277064,Thu Feb 27 23:02:16 CET 2020,-1780.07,EUR,Necessitatibus dolore doloremque.
Yulanda,BE27845120795441,BE08697855973612,Sat Mar 07 06:36:35 CET 2020,2272.92,EUR,Expedita aut omnis in illum aperiam aliquid deserunt.
Henry,BE67852274069809,BE09968010525378,Sat Feb 29 20:05:55 CET 2020,1557.32,EUR,Ab ipsum dolores.
Henry,BE67852274069809,BE73913168374293,Sun Mar 15 07:45:49 CET 2020,-3050.9,EUR,Sunt minus id nesciunt consequatur dicta.
Henry,BE67852274069809,BE70271624847232,Mon Feb 24 08:14:49 CET 2020,3460.34,EUR,Fugiat nihil deleniti.
Henry,BE67852274069809,BE70244446711724,Mon Mar 09 00:18:21 CET 2020,-102.39,EUR,Vel veniam qui eum et iste modi nisi.
Henry,BE67852274069809,BE06711380843698,Wed Mar 11 17:35:11 CET 2020,1008.82,EUR,Dolores qui tempore eos et quis.
Henry,BE67852274069809,BE36870296072847,Sun Mar 15 14:18:41 CET 2020,1139.84,EUR,Error laboriosam eius officia placeat id.
Henry,BE67852274069809,BE25318264943076,Wed Mar 11 09:33:53 CET 2020,-949.72,EUR,Eum ut assumenda sed ea quibusdam.
Henry,BE67852274069809,BE06773763019262,Fri Feb 21 18:27:26 CET 2020,-3114.61,EUR,Nam quia enim quae sunt id incidunt.
Liza,BE87263253231468,BE76103081864975,Sat Mar 14 18:19:45 CET 2020,-3983.29,EUR,Maxime maxime natus quidem eaque voluptas error.
Liza,BE87263253231468,BE28528075081274,Wed Mar 04 02:33:42 CET 2020,4552.35,EUR,Vel nam incidunt.
Liza,BE87263253231468,BE35236207803857,Fri Mar 13 03:12:00 CET 2020,1808.73,EUR,Voluptatum blanditiis exercitationem dolor qui ea commodi incidunt.
Liza,BE87263253231468,BE22203340892026,Wed Mar 04 14:46:33 CET 2020,243.26,EUR,Fugiat consequuntur in vel consequatur ratione repellendus.
Liza,BE87263253231468,BE21801916190546,Mon Mar 16 03:20:14 CET 2020,-501.53,EUR,Et mollitia nemo qui.
Liza,BE87263253231468,BE18134820575352,Wed Feb 26 19:37:38 CET 2020,-126.83,EUR,Molestiae tempore et et voluptatem corrupti.
Liza,BE87263253231468,BE95485935128732,Fri Mar 06 19:21:56 CET 2020,-1394.38,EUR,Qui excepturi cum quae.
Liza,BE87263253231468,BE78369629865446,Sun Mar 15 11:21:47 CET 2020,1394.11,EUR,Facilis ut quaerat earum.
Liza,BE87263253231468,BE89419042225714,Sun Mar 15 20:58:02 CET 2020,4701.09,EUR,Laborum quidem soluta sed voluptatem omnis consectetur.
Liza,BE87263253231468,BE13309402668175,Thu Mar 12 23:31:54 CET 2020,3604.83,EUR,Veritatis unde eaque impedit optio.
Branden,BE23259168798330,BE91204671928179,Sun Mar 15 23:58:33 CET 2020,-2001.87,EUR,Temporibus nihil dignissimos perspiciatis voluptatem.
Branden,BE23259168798330,BE08811998424227,Thu Mar 12 12:39:30 CET 2020,661.03,EUR,Quas occaecati quibusdam.
Branden,BE23259168798330,BE95625012883086,Wed Mar 11 18:43:03 CET 2020,3022.54,EUR,Et rerum sapiente recusandae libero aut ut.
Branden,BE23259168798330,BE06511654759389,Wed Mar 11 01:24:55 CET 2020,734.0,EUR,Excepturi quia illo cupiditate.
Branden,BE23259168798330,BE94424151950496,Wed Mar 11 16:30:40 CET 2020,3048.2,EUR,Cum repellat et fugiat ut.
Branden,BE23259168798330,BE61872971281084,Tue Mar 03 19:50:25 CET 2020,-1346.93,EUR,Nemo consequuntur illum provident molestiae.
Kraig,BE59780668673251,BE84938035909948,Fri Mar 13 22:00:09 CET 2020,714.25,EUR,Explicabo tempora quibusdam consequatur sit architecto officia ducimus.
Kraig,BE59780668673251,BE11813601788195,Sat Mar 07 23:29:02 CET 2020,-1346.85,EUR,Molestias vitae nihil aliquam ex quo aliquam magnam.
Kraig,BE59780668673251,BE70813667594940,Sat Feb 29 20:36:00 CET 2020,4757.88,EUR,Harum nostrum quibusdam odit itaque reprehenderit voluptatum.
Kraig,BE59780668673251,BE18528696794030,Sat Mar 14 11:13:24 CET 2020,3185.14,EUR,Dolorem ex officiis reprehenderit.
Catherina,BE40555243449636,BE47020268712823,Mon Mar 16 10:50:45 CET 2020,4709.65,EUR,Laudantium nobis expedita aut reprehenderit.
Catherina,BE40555243449636,BE17317313385733,Sat Mar 14 03:46:13 CET 2020,2224.54,EUR,Quae qui excepturi at deleniti.
Catherina,BE40555243449636,BE36715958615277,Mon Mar 16 13:00:34 CET 2020,-1106.42,EUR,Inventore ut expedita sunt sapiente.
